mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
BMW,Z4 SDRIVE 30I,1545.0,7.3,36604.0,2.6,2246.5753424657537,0.25
BMW,COUNTRYMAN COOPER D,1585.0,5.2,11736.0,2.4,2615.3846153846152,0.4
VOLKSWAGEN,911 TARGA 4,1740.0,10.5,108136.0,2.7,2276.190476190476,0.25
MERCEDES-BENZ AG,GLA 200 D,1660.0,5.4,20391.0,2.6,2611.111111111111,0.4
BMW,COUNTRYMAN COOPER S,1555.0,6.6,12681.0,2.5,2257.5757575757575,0.25
BMW,840I XDRIVE,1870.0,8.9,81885.0,2.4,2280.8988764044943,0.25
RENAULT-NISSAN-MITSUBISHI,ESPACE,1877.0,6.3,15540.0,2.5,2650.793650793651,0.4
BMW,X5 XDRIVE 25D,2145.0,7.2,40997.0,2.7,2625.0,0.4
BMW,M1 35I XDRIVE,1600.0,7.8,35000.0,2.3,2243.5897435897436,0.25
BMW,M2 40I,1710.0,7.9,48836.0,2.1,2253.164556962025,0.25
MERCEDES-BENZ AG,AMG E 63 S,2010.0,12.2,18990.0,2.7,2278.688524590164,0.25
BMW,116D,1460.0,4.6,10286.0,2.3,2652.1739130434785,0.4
VOLKSWAGEN,PANAMERA GTS,2110.0,12.7,94491.0,3.1,2267.716535433071,0.25
VOLKSWAGEN,PANAMERA TURBO S,2210.0,13.0,94491.0,3.0,2269.230769230769,0.25
MERCEDES-BENZ AG,AMG C 43,1750.0,10.1,18990.0,2.6,2277.2277227722775,0.25
BMW,X3 M COMPETITION,2085.0,10.9,45256.0,3.1,2284.4036697247707,0.25
HYUNDAI MOTOR EUROPE,G70 GENESIS G70,1740.0,9.1,27750.0,2.3,2263.736263736264,0.25
SUBARU-SUZUKI-TOYOTA,PROACE CITY VERSO,1485.0,6.8,17438.0,2.8,2264.7058823529414,0.25
BMW,X2 M35I,1690.0,7.7,52377.0,2.4,2272.7272727272725,0.25
BMW,220D XDRIVE,1640.0,5.4,21916.0,2.5,2611.111111111111,0.4
VOLKSWAGEN,CAYENNE GTS,2220.0,13.2,71309.0,2.4,2272.727272727273,0.25
VOLKSWAGEN,718 CAYMAN S,1460.0,9.6,74281.0,2.3,2270.8333333333335,0.25
STELLANTIS,VIVARO ZAFIRA LIFE,1734.0,6.3,20246.0,2.4,2634.920634920635,0.4
BMW,M850I XDRIVE,2125.0,10.7,99648.0,2.6,2280.373831775701,0.25
BMW,218D,1545.0,4.8,17798.0,2.1,2625.0,0.4
