Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
STELLANTIS,MOKKA-E ULTIMATE BEV 50KWH 136 CV (100KW),E,162.0,327.0,1598.0,529.74,1620.0,0.9,0.6172839506172839
STELLANTIS,E-EXPERT COMBI ELECTRICO 100KW BATERY 75 KWH STAN,E,266.0,317.0,2131.0,843.22,2660.0,0.9,0.37593984962406013
STELLANTIS,MOKKA-E GS LINE BEV 50KWH 136 CV (100KW),E,158.0,342.0,1598.0,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,E-RIFTER ACTIVE PACK LONG 100 KW,E,202.0,275.0,1841.0,555.5,2020.0,0.9,0.49504950495049505
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW C SERIES,E,153.0,354.0,1636.0,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,N2008 FIRST EDITION ELECTRICO 156 (115 KW),E,154.0,402.0,1623.0,619.08,1540.0,0.9,0.6493506493506493
STELLANTIS,E-TRAVELLER BUSINESS VIP ELECTRICO 100 KW BATERY,E,269.0,314.0,2167.0,844.66,2690.0,0.9,0.37174721189591076
STELLANTIS,308 5P FIRST EDITION ELECTRICO 156 (115 KW),E,150.0,412.0,1759.0,618.0,1500.0,0.9,0.6666666666666666
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA M FEEL,E,197.0,280.0,1739.0,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,Ã‹-SPACETOURER TALLA M 75 KWH BUSINESS,E,267.0,316.0,2131.0,843.72,2670.0,0.9,0.37453183520599254
STELLANTIS,COMBO-E LIFE XL ELEGANCE PLUS ELECTRICO 100KW / 13,E,200.0,277.0,1813.0,554.0,2000.0,0.9,0.5
STELLANTIS,E-RIFTER ALLURE STANDARD 100 KW,E,199.0,279.0,1765.0,555.21,1990.0,0.9,0.5025125628140703
STELLANTIS,2008 ALLURE ELECTRICO 136 (100 KW),E,159.0,341.0,1623.0,542.19,1590.0,0.9,0.6289308176100629
STELLANTIS,NUEVO C4X ELECTRICO 100 KW FEEL PACK,E,151.0,358.0,1659.0,540.58,1510.0,0.9,0.6622516556291391
STELLANTIS,COMBO-E LIFE L EDITION ELECTRICO 100KW / 136 CV,E,195.0,283.0,1739.0,551.85,1950.0,0.9,0.5128205128205128
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL FEEL P,E,200.0,278.0,1813.0,556.0,2000.0,0.9,0.5
STELLANTIS,COMBO-E LIFE L EDITION PLUS ELECTRICO 100KW / 136,E,196.0,282.0,1739.0,552.72,1960.0,0.9,0.5102040816326531
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW C SERIES (SOLO STOCK),E,153.0,354.0,1636.0,541.62,1530.0,0.9,0.6535947712418301
BMW,IX1 EDRIVE20,E,162.0,450.0,1940.0,729.0,1620.0,0.9,0.6172839506172839
STELLANTIS,NUEVO E-C4 ELECTRICO 100 KW - 50KWH YOU,E,152.0,356.0,1636.0,541.12,1520.0,0.9,0.6578947368421053
STELLANTIS,COMBO-E LIFE XL EDITION ELECTRICO 100KW / 136 CV,E,198.0,279.0,1813.0,552.42,1980.0,0.9,0.5050505050505051
STELLANTIS,COMBO LIFE ELECTRIC L EDITION PLUS 100KW / 136 CV,E,200.0,283.0,1739.0,566.0,2000.0,0.9,0.5
STELLANTIS,COMBO LIFE ELECTRIC L ELEGANCE PLUS 100KW / 136 CV,E,202.0,279.0,1739.0,563.58,2020.0,0.9,0.49504950495049505
STELLANTIS,COMBO LIFE ELECTRIC L EDITION 100KW / 136 CV,E,199.0,284.0,1739.0,565.16,1990.0,0.9,0.5025125628140703
